,Boat,Ranking,Team,Score,Date
1,1V,3,WIS,2.50,"April 28, 2011"
2,1V,4,BOS,3.75,"April 28, 2011"
3,1V,5,SYR,5.25,"April 28, 2011"
4,1V,6,BRO,5.56,"April 28, 2011"
5,1V,7,COR,6.56,"April 28, 2011"
6,1V,8,NAV,8.06,"April 28, 2011"
7,1V,9,YAL,8.31,"April 28, 2011"
8,1V,10,DAR,9.25,"April 28, 2011"
9,1V,11,COL,9.75,"April 28, 2011"
10,1V,12,GEO,11.75,"April 28, 2011"
11,1V,13,PEN,11.81,"April 28, 2011"
12,1V,14,NOR,13.19,"April 28, 2011"
13,1V,15,HOL,14.44,"April 28, 2011"
14,1V,16,GWU,14.75,"April 28, 2011"
15,1V,17,RUT,16.00,"April 28, 2011"
0,2V,2,WIS,2.47,"April 28, 2011"
1,2V,3,PRI,3.53,"April 28, 2011"
2,2V,4,BOS,4.47,"April 28, 2011"
3,2V,5,NAV,4.67,"April 28, 2011"
4,2V,6,BRO,4.93,"April 28, 2011"
5,2V,7,SYR,6.67,"April 28, 2011"
6,2V,8,COR,7.20,"April 28, 2011"
7,2V,9,YAL,7.93,"April 28, 2011"
8,2V,10,PEN,9.47,"April 28, 2011"
9,2V,11,DAR,10.13,"April 28, 2011"
10,2V,12,COL,11.13,"April 28, 2011"
11,2V,13,GWU,12.60,"April 28, 2011"
12,2V,14,GEO,13.07,"April 28, 2011"
13,2V,15,HOL,13.80,"April 28, 2011"
14,2V,16,RUT,14.93,"April 28, 2011"
0,3V,2,PRI,2.53,"April 28, 2011"
1,3V,3,BOS,2.59,"April 28, 2011"
2,3V,4,NOR,4.24,"April 28, 2011"
3,3V,5,NAV,4.47,"April 28, 2011"
4,3V,6,BRO,6.47,"April 28, 2011"
5,3V,7,COR,7.71,"April 28, 2011"
6,3V,8,COL,7.88,"April 28, 2011"
7,3V,9,SYR,8.65,"April 28, 2011"
8,3V,10,DAR,9.00,"April 28, 2011"
9,3V,11,YAL,9.88,"April 28, 2011"
10,3V,12,WIS,10.06,"April 28, 2011"
11,3V,13,GWU,12.53,"April 28, 2011"
12,3V,14,PEN,13.35,"April 28, 2011"
13,3V,15,GEO,13.65,"April 28, 2011"
14,3V,16,HOL,15.24,"April 28, 2011"
15,3V,17,MIT,16.06,"April 28, 2011"
16,3V,18,RUT,16.71,"April 28, 2011"
0,4V,2,WIS,1.75,"April 28, 2011"
1,4V,3,YAL,2.50,"April 28, 2011"
2,4V,4,COR,3.75,"April 28, 2011"
3,4V,5,BRO,4.63,"April 28, 2011"
4,4V,6,PRI,5.75,"April 28, 2011"
5,4V,7,NAV,6.13,"April 28, 2011"
6,4V,8,DAR,7.75,"April 28, 2011"
7,4V,9,PEN,8.00,"April 28, 2011"
8,4V,10,HOL,9.14,"April 28, 2011"
0,5V,2,BOS,2.00,"April 28, 2011"
1,5V,3,WIS,2.83,"April 28, 2011"
2,5V,4,PEN,3.83,"April 28, 2011"
3,5V,5,COR,4.83,"April 28, 2011"
4,5V,6,GWU,5.20,"April 28, 2011"
5,5V,7,DAR,5.80,"April 28, 2011"
6,5V,8,NOR,6.14,"April 28, 2011"
7,5V,9,RUT,8.33,"April 28, 2011"
8,5V,10,HOL,8.60,"April 28, 2011"
0,1V,2,HAR,2.00,"May 7, 2010"
1,1V,3,YAL,3.27,"May 7, 2010"
2,1V,4,WIS,4.47,"May 7, 2010"
3,1V,5,PRI,5.20,"May 7, 2010"
4,1V,6,SYR,5.47,"May 7, 2010"
5,1V,7,NOR,5.93,"May 7, 2010"
6,1V,8,COR,7.47,"May 7, 2010"
7,1V,9,COL,8.13,"May 7, 2010"
8,1V,10,BOS,9.73,"May 7, 2010"
9,1V,11,NAV,10.67,"May 7, 2010"
10,1V,12,DAR,10.80,"May 7, 2010"
11,1V,13,GWU,12.33,"May 7, 2010"
12,1V,14,PEN,13.00,"May 7, 2010"
13,1V,15,GEO,14.13,"May 7, 2010"
14,1V,16,HOL,15.23,"May 7, 2010"
15,1V,17,MIT,16.47,"May 7, 2010"
16,1V,18,RUT,16.60,"May 7, 2010"
0,2V,2,HAR,2.07,"May 7, 2010"
1,2V,3,WIS,3.36,"May 7, 2010"
2,2V,4,PRI,3.57,"May 7, 2010"
3,2V,5,COR,4.57,"May 7, 2010"
4,2V,6,SYR,5.71,"May 7, 2010"
5,2V,7t,YAL,7.14,"May 7, 2010"
6,2V,7t,BOS,7.14,"May 7, 2010"
7,2V,9,COL,8.43,"May 7, 2010"
8,2V,10,NAV,10.00,"May 7, 2010"
9,2V,11,DAR,10.36,"May 7, 2010"
10,2V,12,NOR,10.93,"May 7, 2010"
11,2V,13,PEN,12.07,"May 7, 2010"
12,2V,14,GWU,13.21,"May 7, 2010"
13,2V,15,GEO,14.07,"May 7, 2010"
14,2V,16,RUT,15.43,"May 7, 2010"
15,2V,17,HOL,15.64,"May 7, 2010"
0,3V,2,COR,2.50,"May 7, 2010"
1,3V,3,NAV,3.21,"May 7, 2010"
2,3V,4,BOS,3.79,"May 7, 2010"
3,3V,5,PRI,3.86,"May 7, 2010"
4,3V,6,PEN,5.93,"May 7, 2010"
5,3V,7,COL,6.71,"May 7, 2010"
6,3V,8,SYR,7.86,"May 7, 2010"
7,3V,9,GEO,8.29,"May 7, 2010"
8,3V,10,YAL,9.86,"May 7, 2010"
9,3V,11,WIS,10.43,"May 7, 2010"
10,3V,12,BRO,10.50,"May 7, 2010"
11,3V,13,DAR,12.50,"May 7, 2010"
12,3V,14,NOR,12.93,"May 7, 2010"
13,3V,15,HOL,14.07,"May 7, 2010"
14,3V,16,RUT,15.00,"May 7, 2010"
15,3V,17,GWU,16.00,"May 7, 2010"
0,4V,2,YAL,2.00,"May 7, 2010"
1,4V,3,WIS,3.11,"May 7, 2010"
2,4V,4,COR,3.33,"May 7, 2010"
3,4V,5,HAR,4.33,"May 7, 2010"
4,4V,6,PRI,5.44,"May 7, 2010"
5,4V,7,BOS,6.56,"May 7, 2010"
6,4V,8,NAV,7.00,"May 7, 2010"
7,4V,9,PEN,8.00,"May 7, 2010"
8,4V,10,DAR,9.00,"May 7, 2010"
9,4V,11,HOL,10.00,"May 7, 2010"
0,5V,2,COR,2.33,"May 7, 2010"
1,5V,3,WIS,3.33,"May 7, 2010"
2,5V,4,GWU,4.00,"May 7, 2010"
0,1V,2,Harvard,2.00,"April 28, 2010"
1,1V,3,Yale,3.76,"April 28, 2010"
2,1V,4,Northeastern,4.82,"April 28, 2010"
3,1V,5,Wisconsin,5.06,"April 28, 2010"
4,1V,6,Princeton,5.29,"April 28, 2010"
5,1V,7,Syracuse,5.59,"April 28, 2010"
6,1V,8,Cornell,7.29,"April 28, 2010"
7,1V,9,Columbia,8.35,"April 28, 2010"
8,1V,10,Boston,9.59,"April 28, 2010"
9,1V,11,Navy,10.53,"April 28, 2010"
10,1V,12,Dartmouth,11.12,"April 28, 2010"
11,1V,13,George Washington,12.35,"April 28, 2010"
12,1V,14,Pennsylvania,13.06,"April 28, 2010"
13,1V,15,Georgetown,14.00,"April 28, 2010"
14,1V,16,Holy Cross,15.35,"April 28, 2010"
15,1V,17,MIT,16.24,"April 28, 2010"
16,1V,18,Rutgers,16.59,"April 28, 2010"
0,2V,2,HAR,2.06,"April 28, 2010"
1,2V,3,PRI,3.31,"April 28, 2010"
2,2V,4,WIS,3.94,"April 28, 2010"
3,2V,5,COR,4.50,"April 28, 2010"
4,2V,6,SYR,6.06,"April 28, 2010"
5,2V,7,BOS,7.06,"April 28, 2010"
6,2V,8,YAL,7.13,"April 28, 2010"
7,2V,9,NAV,9.19,"April 28, 2010"
8,2V,10,COL,9.31,"April 28, 2010"
9,2V,11t,DAR,10.44,"April 28, 2010"
10,2V,11t,NOR,10.44,"April 28, 2010"
11,2V,13,PEN,11.69,"April 28, 2010"
12,2V,14,GWU,13.31,"April 28, 2010"
13,2V,15,GEO,14.00,"April 28, 2010"
14,2V,16,HOL,15.19,"April 28, 2010"
15,2V,17,RUT,15.88,"April 28, 2010"
0,3V,2,COR,2.63,"April 28, 2010"
1,3V,3,NAV,3.44,"April 28, 2010"
2,3V,4,PRI,3.69,"April 28, 2010"
3,3V,5,BOS,3.75,"April 28, 2010"
4,3V,6,PEN,5.69,"April 28, 2010"
5,3V,7,COL,6.81,"April 28, 2010"
6,3V,8,SYR,8.31,"April 28, 2010"
7,3V,9,GEO,8.44,"April 28, 2010"
8,3V,10,YAL,9.63,"April 28, 2010"
9,3V,11,BRO,9.88,"April 28, 2010"
10,3V,12,WIS,10.94,"April 28, 2010"
11,3V,13,DAR,12.50,"April 28, 2010"
12,3V,14,NOR,12.69,"April 28, 2010"
13,3V,15,HOL,14.06,"April 28, 2010"
14,3V,16,RUT,15.19,"April 28, 2010"
15,3V,17,GWU,15.88,"April 28, 2010"
0,4V,2,YAL,2.10,"April 28, 2010"
1,4V,3,WIS,3.00,"April 28, 2010"
2,4V,4,COR,3.10,"April 28, 2010"
3,4V,5,HAR,4.40,"April 28, 2010"
4,4V,6,PRI,5.50,"April 28, 2010"
5,4V,7t,BOS,6.80,"April 28, 2010"
6,4V,7t,NAV,6.80,"April 28, 2010"
7,4V,9,PEN,8.20,"April 28, 2010"
8,4V,10,DAR,9.10,"April 28, 2010"
9,4V,11,HOL,10.30,"April 28, 2010"
0,5V,2,HAR,2.00,"April 28, 2010"
1,5V,3,COR,2.67,"April 28, 2010"
2,5V,4,WIS,3.00,"April 28, 2010"
3,5V,5,GWU,4.67,"April 28, 2010"
4,5V,6,PRI,6.00,"April 28, 2010"
5,5V,7,COL,7.00,"April 28, 2010"
6,5V,8,HOL,8.00,"April 28, 2010"
0,1V,2,Harvard,2.06,"April 20, 2010"
1,1V,3,Northeastern,5.12,"April 20, 2010"
2,1V,4,Princeton,5.18,"April 20, 2010"
3,1V,5,Cornell,5.41,"April 20, 2010"
4,1V,6,Wisconsin,5.47,"April 20, 2010"
5,1V,7,Yale,5.71,"April 20, 2010"
6,1V,8,Syracuse,5.88,"April 20, 2010"
7,1V,9,Boston,7.47,"April 20, 2010"
8,1V,10,Columbia,9.53,"April 20, 2010"
9,1V,11,Dartmouth,10.00,"April 20, 2010"
10,1V,12,George Washington,11.82,"April 20, 2010"
11,1V,13,US Naval Academy,12.00,"April 20, 2010"
12,1V,14,Pennsylvania,13.24,"April 20, 2010"
13,1V,15,Georgetown,14.06,"April 20, 2010"
14,1V,16,Holy Cross,15.65,"April 20, 2010"
15,1V,17,MIT,16.12,"April 20, 2010"
16,1V,18,Rutgers,16.29,"April 20, 2010"
0,2V,2,HAR,2.06,"April 20, 2010"
1,2V,3,PRI,3.68,"April 20, 2010"
2,2V,4,WIS,4.62,"April 20, 2010"
3,2V,5,COR,4.68,"April 20, 2010"
4,2V,6,BOS,5.5,"April 20, 2010"
5,2V,7,YAL,5.75,"April 20, 2010"
6,2V,8,SYR,8.75,"April 20, 2010"
7,2V,9,DAR,8.93,"April 20, 2010"
8,2V,10,NAV,10.12,"April 20, 2010"
9,2V,11,PEN,10.25,"April 20, 2010"
10,2V,12,NOR,10.37,"April 20, 2010"
11,2V,13,COL,10.68,"April 20, 2010"
12,2V,14,GWU,13.43,"April 20, 2010"
13,2V,15,GEO,13.56,"April 20, 2010"
14,2V,16,HOL,15.31,"April 20, 2010"
15,2V,17,RUT,15.68,"April 20, 2010"
0,3V,2,PRI,2.5,"April 20, 2010"
1,3V,3,BOS,3.31,"April 20, 2010"
2,3V,4,COR,4.18,"April 20, 2010"
3,3V,5,NAV,4.43,"April 20, 2010"
4,3V,6,PEN,6.06,"April 20, 2010"
5,3V,7,COL,7.375,"April 20, 2010"
6,3V,8,GEO,7.75,"April 20, 2010"
7,3V,9,YAL,9.25,"April 20, 2010"
8,3V,10,BRO,10,"April 20, 2010"
9,3V,11,SYR,10.81,"April 20, 2010"
10,3V,12,WIS,10.93,"April 20, 2010"
11,3V,13,DAR,11.25,"April 20, 2010"
12,3V,14,NOR,11.5,"April 20, 2010"
13,3V,15,HOL,13.93,"April 20, 2010"
14,3V,16,GWU,14.25,"April 20, 2010"
15,3V,17,RUT,15.87,"April 20, 2010"
0,4V,2,YAL,2.2,"April 20, 2010"
1,4V,3,WIS,2.7,"April 20, 2010"
2,4V,4,COR,3.6,"April 20, 2010"
3,4V,5,HAR,3.8,"April 20, 2010"
4,4V,6,PRI,5.1,"April 20, 2010"
5,4V,7,BOS,7.11,"April 20, 2010"
6,4V,8,NAV,7.78,"April 20, 2010"
7,4V,9,PEN,8.1,"April 20, 2010"
8,4V,10,DAR,8.3,"April 20, 2010"
9,4V,11,COL,10,"April 20, 2010"
10,4V,12,HOL,10,"April 20, 2010"
0,5V,2,HAR,1.67,"April 20, 2010"
1,5V,3,WIS,2.75,"April 20, 2010"
2,5V,4,COR,3,"April 20, 2010"
3,5V,5,NOR,4.75,"April 20, 2010"
4,5V,6,GWU,5,"April 20, 2010"
5,5V,7,HOL,6,"April 20, 2010"
6,5V,8,PRI,6.33,"April 20, 2010"
7,5V,9,COL,8,"April 20, 2010"
0,1V,SEED,CREW,POINTS,"May 5, 2009"
1,1V,1,WIS,1,"May 5, 2009"
2,1V,2,HAR,2,"May 5, 2009"
3,1V,3,BRO,2.933333333,"May 5, 2009"
4,1V,4,COR,3.866666667,"May 5, 2009"
5,1V,5,NOR,5.133333333,"May 5, 2009"
6,1V,6,SYR,5.466666667,"May 5, 2009"
7,1V,7,BOS,6.533333333,"May 5, 2009"
8,1V,8,COL,7.6,"May 5, 2009"
9,1V,9,YAL,8.666666667,"May 5, 2009"
10,1V,10,MIT,9.333333333,"May 5, 2009"
11,1V,11,PRI,10.53333333,"May 5, 2009"
12,1V,12,GWU,11.66666667,"May 5, 2009"
13,1V,13,PEN,12.33333333,"May 5, 2009"
14,1V,14,NAV,13.06666667,"May 5, 2009"
15,1V,15,DAR,13.8,"May 5, 2009"
16,1V,16,GEO,15.06666667,"May 5, 2009"
17,1V,17,HOL,16.06666667,"May 5, 2009"
18,1V,18,RUT,17,"May 5, 2009"
19,1V,,,,"May 5, 2009"
20,1V,3RD VARSITY 8,,2ND FRESHMEN 8,"May 5, 2009"
21,1V,SEED,CREW,POINTS,"May 5, 2009"
22,1V,1,HAR,1,"May 5, 2009"
23,1V,2,WIS,1.833333333,"May 5, 2009"
24,1V,3,COR,2.833333333,"May 5, 2009"
25,1V,4,YAL,3.666666667,"May 5, 2009"
26,1V,5,SYR,4.6,"May 5, 2009"
27,1V,6,PRI,5.166666667,"May 5, 2009"
28,1V,7,BOS,6.333333333,"May 5, 2009"
29,1V,8,NAV,7,"May 5, 2009"
30,1V,9,DAR,8.166666667,"May 5, 2009"
0,1V,SEED,CREW,POINTS,"April 29, 2009"
1,1V,1,WIS,1,"April 29, 2009"
2,1V,2,HAR,1.941176471,"April 29, 2009"
3,1V,3,BRO,2.882352941,"April 29, 2009"
4,1V,4,COR,4.352941176,"April 29, 2009"
5,1V,5,NOR,4.470588235,"April 29, 2009"
6,1V,6,SYR,5.529411765,"April 29, 2009"
7,1V,7,BOS,6.705882353,"April 29, 2009"
8,1V,8,COL,7.647058824,"April 29, 2009"
9,1V,9,YAL,8.411764706,"April 29, 2009"
10,1V,10,MIT,9.588235294,"April 29, 2009"
11,1V,11,PRI,10.64705882,"April 29, 2009"
12,1V,12,DAR,12.11764706,"April 29, 2009"
13,1V,13,PEN,12.76470588,"April 29, 2009"
14,1V,14,GWU,12.82352941,"April 29, 2009"
15,1V,15,NAV,13.17647059,"April 29, 2009"
16,1V,16,GEO,14.88235294,"April 29, 2009"
17,1V,17,HOL,16.23529412,"April 29, 2009"
18,1V,18,RUT,16.82352941,"April 29, 2009"
19,1V,,,,"April 29, 2009"
20,1V,3RD VARSITY 8,,2ND FRESHMEN 8,"April 29, 2009"
21,1V,SEED,CREW,POINTS,"April 29, 2009"
22,1V,1,HAR,1.142857143,"April 29, 2009"
23,1V,2,WIS,1.833333333,"April 29, 2009"
24,1V,3,COR,2.571428571,"April 29, 2009"
25,1V,4,YAL,3.571428571,"April 29, 2009"
26,1V,5,SYR,4.333333333,"April 29, 2009"
27,1V,6,PRI,4.714285714,"April 29, 2009"
28,1V,7,BOS,6.333333333,"April 29, 2009"
29,1V,8,NAV,6.857142857,"April 29, 2009"
30,1V,9,DAR,8.714285714,"April 29, 2009"
0,1V,SEED,CREW,POINTS,"April 24, 2009"
1,1V,1,WIS,1,"April 24, 2009"
2,1V,2,HAR,1.941176471,"April 24, 2009"
3,1V,3,BRO,3.058823529,"April 24, 2009"
4,1V,4,COL,4.411764706,"April 24, 2009"
5,1V,5,NOR,4.647058824,"April 24, 2009"
6,1V,6,COR,5.882352941,"April 24, 2009"
7,1V,7,BOS,6.294117647,"April 24, 2009"
8,1V,8,SYR,7.647058824,"April 24, 2009"
9,1V,9,YAL,8.705882353,"April 24, 2009"
10,1V,10,MIT,9.411764706,"April 24, 2009"
11,1V,11,PRI,10.52941176,"April 24, 2009"
12,1V,12,NAV,11.29411765,"April 24, 2009"
13,1V,13,DAR,12.35294118,"April 24, 2009"
14,1V,14,GWU,13.52941176,"April 24, 2009"
15,1V,15,GEO,13.70588235,"April 24, 2009"
16,1V,16,PEN,14.52941176,"April 24, 2009"
17,1V,17,HOL,16.23529412,"April 24, 2009"
18,1V,18,RUT,16.82352941,"April 24, 2009"
19,1V,,,,"April 24, 2009"
20,1V,SEED,CREW,POINTS,"April 24, 2009"
21,1V,1,BRO,1.5,"April 24, 2009"
22,1V,2,WIS,2.3125,"April 24, 2009"
23,1V,3,PRI,2.6875,"April 24, 2009"
24,1V,4,HAR,3.9375,"April 24, 2009"
25,1V,5t,BOS,6,"April 24, 2009"
26,1V,5t,SYR,6,"April 24, 2009"
27,1V,7,YAL,6.0625,"April 24, 2009"
28,1V,8,COR,7.4375,"April 24, 2009"
29,1V,9,NOR,7.6875,"April 24, 2009"
30,1V,10,NAV,9.6875,"April 24, 2009"
31,1V,11,COL,9.875,"April 24, 2009"
32,1V,12,PEN,12.25,"April 24, 2009"
33,1V,13,DAR,12.5,"April 24, 2009"
34,1V,14,GEO,12.625,"April 24, 2009"
35,1V,15,GWU,12.875,"April 24, 2009"
36,1V,16,RUT,15.5,"April 24, 2009"
37,1V,17,HOL,15.5625,"April 24, 2009"
38,1V,,MIT,,"April 24, 2009"
39,1V,,,,"April 24, 2009"
40,1V,SEED,CREW,POINTS,"April 24, 2009"
41,1V,1,HAR,1,"April 24, 2009"
42,1V,2,BRO,1.941176471,"April 24, 2009"
43,1V,3,PRI,3.117647059,"April 24, 2009"
44,1V,4,COR,4.529411765,"April 24, 2009"
45,1V,5,YAL,4.764705882,"April 24, 2009"
46,1V,6,WIS,6.176470588,"April 24, 2009"
47,1V,7,SYR,7.470588235,"April 24, 2009"
48,1V,8,DAR,7.705882353,"April 24, 2009"
49,1V,9,NOR,8.470588235,"April 24, 2009"
50,1V,10,NAV,9.647058824,"April 24, 2009"
51,1V,11,MIT,10.29411765,"April 24, 2009"
52,1V,12,PEN,10.35294118,"April 24, 2009"
53,1V,13,BOS,11.82352941,"April 24, 2009"
54,1V,14,GEO,13.11764706,"April 24, 2009"
55,1V,15,GWU,14.17647059,"April 24, 2009"
56,1V,16,COL,14.58823529,"April 24, 2009"
57,1V,17,RUT,16,"April 24, 2009"
58,1V,18,HOL,16.82352941,"April 24, 2009"
0,1V,1,Brown,1.133,"May 13, 2008"
1,1V,2,Wisconsin,1.933,"May 13, 2008"
2,1V,3,Harvard,2.800,"May 13, 2008"
3,1V,4,Princeton,3.933,"May 13, 2008"
4,1V,5,Northeastern,4.533,"May 13, 2008"
5,1V,6,Columbia,5.733,"May 13, 2008"
6,1V,7,Syracuse,6.667,"May 13, 2008"
7,1V,8,Navy,7.667,"May 13, 2008"
8,1V,9,Cornell,8.467,"May 13, 2008"
9,1V,10,Yale,9.333,"May 13, 2008"
10,1V,11,Georgetown,10.400,"May 13, 2008"
11,1V,12,Boston U.,11.933,"May 13, 2008"
12,1V,13,George Washington,12.467,"May 13, 2008"
13,1V,14,MIT,13.400,"May 13, 2008"
14,1V,15,Pennsylvania,14.200,"May 13, 2008"
15,1V,16,Rutgers,15.133,"May 13, 2008"
16,1V,17,Dartmouth,15.200,"May 13, 2008"
17,1V,18,Holy Cross,17.000,"May 13, 2008"
18,1V,,,,"May 13, 2008"
19,1V,3V 8+,,2F 8+,"May 13, 2008"
20,1V,1,Harvard A,,"May 13, 2008"
21,1V,2,Wisconsin,,"May 13, 2008"
22,1V,3,Cornell,,"May 13, 2008"
23,1V,4,Boston University,,"May 13, 2008"
24,1V,5,Harvard B,,"May 13, 2008"
25,1V,6,Brown,,"May 13, 2008"
26,1V,7,Yale,,"May 13, 2008"
27,1V,8,Georgetown,,"May 13, 2008"
28,1V,9,Princeton,,"May 13, 2008"
29,1V,10,Holy Cross,,"May 13, 2008"
0,1V,1,Brown,1.176,"May 7, 2008"
1,1V,2,Wisconsin,2.059,"May 7, 2008"
2,1V,3,Harvard,2.824,"May 7, 2008"
3,1V,4,Princeton,4.000,"May 7, 2008"
4,1V,5,Northeastern,4.588,"May 7, 2008"
5,1V,6,Columbia,5.588,"May 7, 2008"
6,1V,7,Syracuse,6.647,"May 7, 2008"
7,1V,8,Navy,7.824,"May 7, 2008"
8,1V,9,Cornell,8.471,"May 7, 2008"
9,1V,10,Yale,9.176,"May 7, 2008"
10,1V,11,Georgetown,10.471,"May 7, 2008"
11,1V,12,Boston U.,12.471,"May 7, 2008"
12,1V,13,George Washington,12.765,"May 7, 2008"
13,1V,14,MIT,13.412,"May 7, 2008"
14,1V,15,Pennsylvania,13.706,"May 7, 2008"
15,1V,16,Rutgers,14.824,"May 7, 2008"
16,1V,17,Dartmouth,15.176,"May 7, 2008"
17,1V,18,Holy Cross,16.824,"May 7, 2008"
18,1V,,,,"May 7, 2008"
19,1V,3V 8+,,2F 8+,"May 7, 2008"
20,1V,1,HAR,1.000,"May 7, 2008"
21,1V,2,WIS,1.875,"May 7, 2008"
22,1V,3,BRO,3.375,"May 7, 2008"
23,1V,4,COR,3.375,"May 7, 2008"
24,1V,5,YAL,4.750,"May 7, 2008"
25,1V,6,GEO,5.250,"May 7, 2008"
26,1V,7,PRI,6.375,"May 7, 2008"
27,1V,8,BOS,6.500,"May 7, 2008"
28,1V,9,GWU,8.000,"May 7, 2008"
29,1V,10,HOL,8.600,"May 7, 2008"
0,1V,1,BRO,1.294,"April 30, 2008"
1,1V,2,WIS,1.706,"April 30, 2008"
2,1V,3,HAR,2.882,"April 30, 2008"
3,1V,4,PRI,3.765,"April 30, 2008"
4,1V,5,COL,5.059,"April 30, 2008"
5,1V,6,NOR,5.529,"April 30, 2008"
6,1V,7,SYR,6.647,"April 30, 2008"
7,1V,8,NAV,8.000,"April 30, 2008"
8,1V,9,COR,8.529,"April 30, 2008"
9,1V,10,YAL,8.941,"April 30, 2008"
10,1V,11,GEO,10.471,"April 30, 2008"
11,1V,12,BOS,11.294,"April 30, 2008"
12,1V,13,GWU,12.412,"April 30, 2008"
13,1V,14,PEN,13.471,"April 30, 2008"
14,1V,15,RUT,14.353,"April 30, 2008"
15,1V,16,DAR,15.176,"April 30, 2008"
16,1V,17,MIT,15.706,"April 30, 2008"
17,1V,18,HOL,16.765,"April 30, 2008"
18,1V,,,,"April 30, 2008"
19,1V,3V 8+,,2F 8+,"April 30, 2008"
20,1V,1,HAR,1.000,"April 30, 2008"
21,1V,2,WIS,1.857,"April 30, 2008"
22,1V,3,BRO,3.000,"April 30, 2008"
23,1V,4,COR,3.429,"April 30, 2008"
24,1V,5,YAL,4.714,"April 30, 2008"
25,1V,6,GEO,5.125,"April 30, 2008"
26,1V,7,PRI,6.143,"April 30, 2008"
27,1V,8,BOS,7.143,"April 30, 2008"
28,1V,9,GWU,8.000,"April 30, 2008"
29,1V,10,HOL,8.333,"April 30, 2008"
0,1V,1,BRO,1.294,"April 23, 2008"
1,1V,2,WIS,1.823,"April 23, 2008"
2,1V,3,HAR,2.882,"April 23, 2008"
3,1V,4,PRI,3.647,"April 23, 2008"
4,1V,5,COL,5.235,"April 23, 2008"
5,1V,6,NOR,5.588,"April 23, 2008"
6,1V,7,YAL,6.764,"April 23, 2008"
7,1V,8,SYR,7.117,"April 23, 2008"
8,1V,9,NAV,8.588,"April 23, 2008"
9,1V,10,COR,9.471,"April 23, 2008"
10,1V,11,GEO,10.706,"April 23, 2008"
11,1V,12,BOS,11.059,"April 23, 2008"
12,1V,13,GWU,12.412,"April 23, 2008"
13,1V,14,PEN,13.471,"April 23, 2008"
14,1V,15,RUT,14.529,"April 23, 2008"
15,1V,16,DAR,15.235,"April 23, 2008"
16,1V,17,MIT,15.353,"April 23, 2008"
17,1V,18,HOL,16.471,"April 23, 2008"
18,1V,,,,"April 23, 2008"
19,1V,,3V 8+,,"April 23, 2008"
20,1V,1,HAR,1.000,"April 23, 2008"
21,1V,2,WIS,2.000,"April 23, 2008"
22,1V,3,BRO,2.600,"April 23, 2008"
23,1V,4,YAL,3.800,"April 23, 2008"
24,1V,5,COR,4.000,"April 23, 2008"
25,1V,6,GEO,5.000,"April 23, 2008"
26,1V,7,PRI,5.500,"April 23, 2008"
27,1V,8,BOS,6.666,"April 23, 2008"
28,1V,9,GWU,8.750,"April 23, 2008"
0,1V,"Freshman 8
1	Harvard
2	Brown
3	Northeastern
4	Cornell
5	Princeton
6	Columbia
7	Boston
8	Wisconsin
9	Yale
10	Navy
11	Georgetown
12	Syracuse
13	Holy Cross
14	GW
15	Rutgers
16	Dartmouth
17	Penn
18	MIT","Third Varsity 8
1	Harvard
2	Brown
3	Wisconsin
4	Yale
5	Cornell
6	Syracuse
7	Georgetown
8	Holy Cross
9	Navy","Second Freshman 8
1	Harvard
2	Boston
3	Penn
4	Cornell
5	Navy
6	Yale
7	Georgetown
8	GW
9	Holy Cross","May 8, 2007"
0,1V,"Freshman 8
1	Harvard
2	Brown
3	Cornell
4	Northeastern
5	Princeton
6	Columbia
7	Boston
8	Wisconsin
9	Yale
10	Navy
11	Georgetown
12	Syracuse
13	Holy Cross
14	GW
15	Rutgers
16	Dartmouth
17	Penn","Third Varsity 8
1	Harvard
2	Brown
3	Wisconsin
4	Yale
5	Cornell
6	Syracuse
7	Navy
8	Princeton
9	Georgetown","Second Freshman 8
1	Harvard
2	Cornell
3	Boston
4	Navy
5	Yale
6	Georgetown
7	GW
8	Holy Cross","May 3, 2007"
0,1V,"Freshman 8
1	Harvard
2	Brown
3	Princeton
4	Northeastern
5	Columbia
6	Yale
7	Wisconsin
8	Boston
9	Cornell
10	Navy
11	Georgetown
12	Syracuse
13	Holy Cross
14	GW
15	Rutgers
16	Dartmouth
17	Penn
18	MIT","Third Varsity 8
No poll this week","Second Freshman 8
No poll this week","April 27, 2007"
0,1V,"Freshman 8
1	Harvard
2	Brown
3	Penn
4	Princeton
5	Northeastern
6	Cornell
7	Wisconsin
8	Yale
9	Boston
10	Georgetown
11	Rutgers
12	Navy
13	Columbia
14	Syracuse
15	Dartmouth
16	MIT","Third Varsity 8
1	Harvard
2	Wisconsin
3	Syracuse
4	Navy
5	Princeton","Second Freshman 8
1	Northeastern
2	Harvard
3	Wisconsin
4	Yale
5	Navy
6	Cornell
7	Boston
8	Dartmouth
9	MIT","May 10, 2006"
0,1V,"Freshman 8
1	Harvard
2	Brown
3	Princeton
4	Penn
5	Northeastern
6	Cornell
7	Yale
8	Wisconsin
9	Boston
10	Georgetown
11	Rutgers
12	Navy
13	Columbia
14	Syracuse
15	Dartmouth
16	MIT","Third Varsity 8
1	Harvard
2	Wisconsin
3	Navy
4	Syracuse
5	Princeton","Second Freshman 8
1	Northeastern
2	Harvard
3	Wisconsin
4	Yale
5	Navy
6	Cornell
7	Dartmouth
8	Boston
9	MIT","May 3, 2006"
